Price,Mileage,Make,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather
17314.10313,8221,Buick,Sedan 4D,Sedan,6,3.1,4,yes,yes,yes
17542.03608,9135,Buick,Sedan 4D,Sedan,6,3.1,4,yes,yes,no
16218.84786,13196,Buick,Sedan 4D,Sedan,6,3.1,4,yes,yes,no
16336.91314,16342,Buick,Sedan 4D,Sedan,6,3.1,4,yes,no,no
16339.17032,19832,Buick,Sedan 4D,Sedan,6,3.1,4,yes,no,yes
15709.05282,22236,Buick,Sedan 4D,Sedan,6,3.1,4,yes,yes,no
15230.00339,22576,Buick,Sedan 4D,Sedan,6,3.1,4,yes,yes,no
15048.04218,22964,Buick,Sedan 4D,Sedan,6,3.1,4,yes,yes,no
14862.09387,24021,Buick,Sedan 4D,Sedan,6,3.1,4,yes,no,yes
15295.01827,27325,Buick,Sedan 4D,Sedan,6,3.1,4,yes,yes,yes
21335.85248,10237,Buick,CX Sedan 4D,Sedan,6,3.6,4,yes,no,no
20538.08751,15066,Buick,CX Sedan 4D,Sedan,6,3.6,4,yes,yes,no
20512.09409,16633,Buick,CX Sedan 4D,Sedan,6,3.6,4,yes,yes,no
19924.15905,19800,Buick,CX Sedan 4D,Sedan,6,3.6,4,yes,yes,yes
19774.24907,23359,Buick,CX Sedan 4D,Sedan,6,3.6,4,yes,yes,yes
19344.16554,23765,Buick,CX Sedan 4D,Sedan,6,3.6,4,yes,yes,no
19105.13012,24008,Buick,CX Sedan 4D,Sedan,6,3.6,4,yes,no,no
18543.42705,26034,Buick,CX Sedan 4D,Sedan,6,3.6,4,yes,yes,yes
17808.199,32896,Buick,CX Sedan 4D,Sedan,6,3.6,4,yes,yes,no
17968.83828,34665,Buick,CX Sedan 4D,Sedan,6,3.6,4,yes,yes,yes
22358.87768,8970,Buick,CXL Sedan 4D,Sedan,6,3.6,4,yes,yes,no
23785.92253,10577,Buick,CXL Sedan 4D,Sedan,6,3.6,4,yes,yes,yes
22926.09037,14363,Buick,CXL Sedan 4D,Sedan,6,3.6,4,yes,yes,yes
21895.75878,16508,Buick,CXL Sedan 4D,Sedan,6,3.6,4,yes,no,yes
21273.06171,18908,Buick,CXL Sedan 4D,Sedan,6,3.6,4,yes,no,no
21460.01395,19467,Buick,CXL Sedan 4D,Sedan,6,3.6,4,yes,no,yes
21183.12359,21394,Buick,CXL Sedan 4D,Sedan,6,3.6,4,yes,no,no
20406.0995,22596,Buick,CXL Sedan 4D,Sedan,6,3.6,4,yes,no,no
21058.13958,24469,Buick,CXL Sedan 4D,Sedan,6,3.6,4,yes,yes,yes
19556.89932,25245,Buick,CXL Sedan 4D,Sedan,6,3.6,4,yes,no,no
23447.68656,15755,Buick,CXS Sedan 4D,Sedan,6,3.8,4,yes,yes,no
23547.23944,16235,Buick,CXS Sedan 4D,Sedan,6,3.8,4,yes,yes,no
23016.00801,18147,Buick,CXS Sedan 4D,Sedan,6,3.8,4,yes,yes,yes
22230.0275,22102,Buick,CXS Sedan 4D,Sedan,6,3.8,4,yes,no,yes
22625.07357,23612,Buick,CXS Sedan 4D,Sedan,6,3.8,4,yes,no,yes
21799.1721,24439,Buick,CXS Sedan 4D,Sedan,6,3.8,4,yes,no,no
21341.25721,25212,Buick,CXS Sedan 4D,Sedan,6,3.8,4,yes,yes,yes
21683.03146,26779,Buick,CXS Sedan 4D,Sedan,6,3.8,4,yes,yes,no
20986.01602,27096,Buick,CXS Sedan 4D,Sedan,6,3.8,4,yes,no,no
20902.10379,29649,Buick,CXS Sedan 4D,Sedan,6,3.8,4,yes,yes,yes
20698.07708,2992,Buick,Custom Sedan 4D,Sedan,6,3.8,4,yes,no,yes
20099.25684,10036,Buick,Custom Sedan 4D,Sedan,6,3.8,4,yes,yes,yes
18145.12649,18339,Buick,Custom Sedan 4D,Sedan,6,3.8,4,yes,yes,no
17944.85692,19592,Buick,Custom Sedan 4D,Sedan,6,3.8,4,yes,no,no
19027.86231,21797,Buick,Custom Sedan 4D,Sedan,6,3.8,4,yes,no,yes
18348.89857,23852,Buick,Custom Sedan 4D,Sedan,6,3.8,4,yes,yes,no
17750.88457,25040,Buick,Custom Sedan 4D,Sedan,6,3.8,4,yes,yes,no
17772.96968,25052,Buick,Custom Sedan 4D,Sedan,6,3.8,4,yes,yes,no
17394.0214,25464,Buick,Custom Sedan 4D,Sedan,6,3.8,4,yes,yes,no
17645.74504,27830,Buick,Custom Sedan 4D,Sedan,6,3.8,4,yes,yes,yes
21908.36662,17353,Buick,Limited Sedan 4D,Sedan,6,3.8,4,yes,no,no
